no	pop	site	covera	coverb	coverc	slope	elev	dist_fem	radiation	adult_yew10	adult_yew100	seeds	seedl
1	A	A01	100	20	1	20	362	108	100.3	0	0	100	0
2	A	A02	100	25	1	0	389	22	100	0	3	0	1
3	A	A03	70	50	60	4	382	95	105.4	0	3	0	2
4	A	A04	80	30	60	10	387	194	98.8	0	1	0	0
5	A	A05	70	20	50	10	396	265	101.7	0	1	0	0
6	A	A06	80	15	20	35	404	304	92.5	0	0	0	0
7	A	A07	90	75	1	15	396	239	109.6	0	0	200	0
8	A	A08	80	0	70	10	382	205	101.7	0	0	0	1
9	A	A09	70	20	1	37	378	207	128.6	0	0	0	0
10	A	A10	70	10	30	50	361	111	133.6	0	0	0	0
11	A	A11	75	35	30	25	360	42	91.4	0	2	0	1
12	A	A12	90	40	1	20	370	75	94.6	0	8	0	6
13	A	A13	80	20	10	7	378	62	110.3	0	8	0	1
14	A	A14	80	20	25	7	352	124	108.6	0	0	0	0
15	A	A15	80	10	20	14	388	212	109.2	0	0	200	0
16	A	A16	85	20	60	13	357	284	108.7	0	0	0	0
17	A	A17	80	40	70	10	330	5	107.2	4	51	300	0
18	A	A18	80	50	40	12	333	113	101.6	0	0	0	0
19	A	A19	75	25	30	5	386	23	101.1	0	15	100	1
20	A	A20	85	20	1	12	378	100	114.6	0	1	0	1
21	B	B01	90	60	40	15	495	147	97	0	0	0	0
22	B	B02	90	30	1	14	520	114	98.9	0	0	0	0
23	B	B03	80	30	20	10	520	82	110.1	0	9	0	0
24	B	B04	80	10	100	12	444	86	116.1	0	1	0	1
25	B	B05	10	10	70	6	460	93	104.7	0	4	300	75
26	B	B06	90	30	5	6	466	14	101.4	0	8	100	25
27	B	B07	80	40	10	5	478	45	99.3	0	5	300	32
28	B	B08	60	70	10	15	481	133	19.4	0	1	0	10
29	B	B09	80	25	20	8	445	157	100.1	0	1	600	93
30	B	B10	70	40	80	15	450	51	109.6	0	32	100	55
31	B	B11	85	40	5	8	470	198	111.2	0	0	0	24
32	B	B12	80	0	5	18	480	151	110.6	0	0	0	9
33	B	B13	80	10	5	5	500	293	107.5	0	0	0	0
34	B	B14	60	30	10	5	544	206	107.5	0	0	0	0
35	B	B15	90	20	10	15	442	7	97	7	250	300	29
36	B	B16	70	10	1	5	440	15	99.3	0	96	0	15
37	B	B17	50	50	50	10	453	73	113.7	0	4	0	4
38	B	B18	60	30	35	5	465	45	106.7	0	9	0	0
39	B	B19	60	50	100	15	420	166	109.6	0	0	0	0
40	B	B20	80	30	30	10	441	40	113.7	0	28	0	20
41	C	C01	75	20	60	16	565	72	105.3	0	17	0	5
42	C	C02	70	20	50	17	554	39	105.4	1	29	0	0
43	C	C03	85	20	40	14	550	41	105.4	0	0	0	0
44	C	C04	75	30	70	12	570	117	104.8	0	3	0	0
45	C	C05	75	30	40	13	565	129	97.8	0	3	0	2
46	C	C06	80	0	45	15	545	75	97	0	5	100	3
47	C	C07	80	25	20	15	540	41	105.2	0	9	0	3
48	C	C08	75	30	45	16	565	51	105.3	0	7	0	2
49	C	C09	80	75	75	20	515	2	111.2	0	1	800	1
50	C	C10	90	0	1	13	535	98	105	0	1	0	0
51	C	C11	80	40	30	10	530	17	98.8	0	0	0	0
52	C	C12	100	5	5	8	515	140	100.1	0	0	0	0
53	C	C13	70	60	80	10	713	68	114.2	0	2	0	0
54	C	C14	60	10	100	20	701	39	100.3	0	1	0	0
55	C	C15	80	20	30	3	705	59	104.3	0	10	0	0
56	C	C16	85	5	10	15	707	42	105.2	0	14	0	0
57	C	C17	80	20	20	15	691	63	101.4	0	15	300	1
58	C	C18	65	20	70	25	668	110	104.8	0	3	0	0
59	C	C19	95	40	5	13	698	31	97.8	0	24	0	1
60	C	C20	70	30	60	15	693	12	97	0	18	0	3
61	D	D01	65	5	90	14	440	19	97.4	1	41	200	3
62	D	D02	75	15	70	16	470	41	96.6	0	9	0	0
63	D	D03	90	25	5	8	459	101	106	0	10	0	0
64	D	D04	80	20	15	10	408	65	107.2	0	57	100	0
65	D	D05	50	20	50	15	470	5	109.6	0	58	400	3
66	D	D06	40	100	60	12	469	13	114.6	0	35	0	0
67	D	D07	60	80	25	13	460	46	108.7	0	221	0	2
68	D	D08	50	40	70	19	447	31	110.9	2	138	100	0
69	D	D09	60	50	60	19	452	31	120.9	0	24	100	12
70	D	D10	70	30	50	20	483	91	111.2	0	0	300	2
71	D	D11	40	20	40	7	449	79	101.5	1	13	300	0
72	D	D12	80	80	20	6	454	35	101.4	1	58	0	0
73	D	D13	80	90	10	7	451	23	105.4	0	80	0	0
74	D	D14	80	70	20	5	444	10	106.7	0	215	400	3
75	D	D15	50	80	40	6	437	32	107.9	10	576	0	1
76	D	D16	0	0	100	0	NA	18	100	1	309	0	0
77	D	D17	40	10	90	17	455	8	96.2	0	29	0	0
78	D	D18	80	50	50	24	494	9	98.9	0	3	0	0
79	D	D19	70	80	80	5	460	91	101.2	0	4	0	0
80	D	D20	80	35	45	6	450	35	104.7	0	20	0	1
81	E	E01	90	30	10	45	382	114	128	0	1	0	0
82	E	E02	0	80	30	30	395	79	111.7	0	4	0	0
83	E	E03	40	50	60	5	390	45	106.7	0	24	0	0
84	E	E04	0	60	80	20	407	19	100.3	0	107	0	0
85	E	E05	40	90	10	10	424	5	101.7	2	128	400	11
86	E	E06	0	0	100	20	433	29	111.2	0	120	100	0
87	E	E07	80	30	10	45	437	53	83.8	0	36	0	0
88	E	E08	60	60	30	25	433	25	124.9	0	121	100	0
89	E	E09	80	60	15	25	420	5	124.9	11	129	0	0
90	E	E10	60	20	70	25	411	0	124.9	8	126	600	7
91	E	E11	60	20	80	35	411	26	128.4	0	86	0	0
92	E	E12	20	70	80	40	424	57	128.7	0	13	0	0
93	E	E13	60	30	70	30	436	8	95.8	1	88	100	2
94	E	E14	20	70	50	10	448	25	112.6	0	128	0	1
95	E	E15	40	40	50	45	451	33	128	0	119	0	0
96	E	E16	30	60	70	10	443	50	112.6	0	38	0	0
97	E	E17	50	40	50	15	463	54	117.6	0	16	100	0
98	E	E18	40	50	40	30	459	65	127	0	31	100	1
99	E	E19	80	30	50	20	431	95	121.7	0	4	0	2
100	E	E20	30	60	70	10	443	70	118.1	0	36	0	1
101	F	F01	0	100	5	5	435	55	104	0	30	0	0
102	F	F02	10	60	70	30	440	36	95.8	0	16	0	0
103	F	F03	10	70	80	5	442	51	104	0	49	0	0
104	F	F04	0	70	80	5	451	60	101.2	0	63	0	0
105	F	F05	0	100	80	10	460	68	107.2	0	44	0	1
106	F	F06	30	100	40	10	469	95	107.2	0	5	0	0
107	F	F07	80	70	20	10	480	97	101.7	0	4	100	0
108	F	F08	30	40	80	10	491	80	107.2	0	3	0	0
109	F	F09	100	15	5	15	390	149	101.4	0	0	200	3
110	F	F10	0	100	1	10	360	58	101.7	0	10	0	0
111	F	F11	100	75	40	15	390	38	101.4	0	45	0	0
112	F	F12	50	80	10	15	400	27	109.6	0	59	0	1
113	F	F13	0	80	1	35	402	15	82.9	5	67	400	0
114	F	F14	20	70	20	25	409	26	91.4	0	57	100	0
115	F	F15	40	80	45	10	417	20	101.7	0	52	0	0
116	F	F16	0	10	50	15	427	24	101.4	0	68	0	0
117	F	F17	40	80	5	40	446	11	88.5	2	79	0	0
118	F	F18	10	40	30	5	460	30	104	0	102	0	0
119	F	F19	0	65	20	10	471	48	101.7	0	92	0	0
120	F	F20	30	60	40	10	480	52	101.7	0	56	300	0
